,0,1,2,0,1,2,3,4,5,6,0,0,1,2
188,Both perform,78,-112,185,188,37,12.333333333333334,73,57.67,25,-34,Seller's breach - deposit remedy,-24.666666666666664,0
189,Both perform,139,-121,197,250,35,35.0,76,21.28,71,18,Both perform,18,1
190,Both perform,53,-106,170,140,23,7.666666666666667,64,12.8,11,-53,Buyer's breach - judicial remedy,-11,0
191,Both perform,28,-5,140,204,41,41.0,135,94.5,56,23,Both perform,23,1
192,Both perform,21,36,159,245,29,7.25,195,50.7,3,57,Both perform,57,1
193,Both perform,33,-39,144,177,39,13.0,105,48.3,54,-6,Both perform,-6,1
194,Both perform,134,-48,134,232,12,6.0,86,48.16,35,86,Both perform,86,1
195,Both perform,68,38,92,248,50,16.666666666666668,130,7.8,44,106,Both perform,106,1
196,Both perform,92,-76,164,192,12,4.0,88,35.2,82,16,Both perform,16,1
197,Both perform,57,-112,190,159,24,8.0,78,4.68,81,-55,Buyer's breach - deposit remedy,-16.0,0
198,Both perform,118,-12,130,249,13,4.333333333333333,118,63.72,69,106,Both perform,106,1
199,Seller's breach - deposit remedy,33.93,-33.93,192,106,50,50.0,87,33.93,41,0.0,Buyer's breach - deposit remedy,0.0,0
200,Both perform,-18,-11,105,108,32,16.0,94,74.26,94,-29,Buyer's breach - deposit remedy,-16.0,0
201,Both perform,57,-61,175,198,27,9.0,114,23.94,24,-4,Both perform,-4,1
202,Both perform,73,-16,94,191,40,20.0,78,64.74,17,57,Both perform,57,1
203,Both perform,-34,8,110,118,34,8.5,118,43.66,24,-26,Buyer's breach - judicial remedy,-24,0
204,Both perform,102,-17,123,238,30,7.5,106,87.98,62,85,Both perform,85,1
205,Both perform,7,-81,173,127,28,14.0,92,84.64,36,-74,Buyer's breach - deposit remedy,-14.0,0
206,Both perform,50,-45,198,217,14,4.666666666666667,153,45.9,69,5,Both perform,5,1
207,Both perform,51,-2,146,207,12,4.0,144,97.92,84,49,Both perform,49,1
208,Both perform,-64,63,137,150,14,4.666666666666667,200,62.0,70,-1,Both perform,-1,1
209,Both perform,12,35,113,174,14,4.666666666666667,148,29.6,82,47,Both perform,47,1
210,Both perform,130,-55,105,202,22,7.333333333333333,50,3.0,77,75,Both perform,75,1
211,Both perform,16,-33,105,108,20,6.666666666666667,72,66.96,14,-17,Buyer's breach - deposit remedy,-13.333333333333329,0
212,Both perform,-37,8,156,166,39,39.0,164,118.08,8,-29,Buyer's breach - deposit remedy,0.0,0
213,Both perform,98,-44,170,243,19,19.0,126,120.96,35,54,Both perform,54,1
214,Buyer's breach - enforced performance,-113,7,148,101,17,17.0,155,31.0,42,-106,Buyer's breach - deposit remedy,0.0,0
215,Both perform,18,82,103,248,45,22.5,185,48.1,71,100,Both perform,100,1
216,Both perform,-15,35,107,159,32,16.0,142,45.44,20,20,Both perform,20,1
217,Both perform,53,2,164,247,28,14.0,166,127.82,84,55,Both perform,55,1
218,Both perform,102,-102,168,190,22,5.5,66,40.92,12,0,Both perform,0,1
219,Both perform,-80,62,136,168,50,16.666666666666668,198,130.68,25,-18,Both perform,-18,1
220,Both perform,171,-65,116,247,25,6.25,51,13.26,78,106,Both perform,106,1
221,Seller's breach - deposit remedy,74.90666666666667,-90.24,199,157,23,7.666666666666667,94,90.24,37,-15.333333333333329,Buyer's breach - deposit remedy,-15.333333333333329,0
222,Both perform,150,-116,196,248,18,18.0,80,65.6,15,34,Both perform,34,1
223,Both perform,-63,1,142,127,47,47.0,143,131.56,91,-62,Buyer's breach - deposit remedy,0.0,0
224,Both perform,-38,46,97,154,49,24.5,143,71.5,56,8,Both perform,8,1
225,Both perform,-41,54,95,157,49,12.25,149,25.33,19,13,Both perform,13,1
226,Both perform,12,-7,100,151,46,46.0,93,60.45,89,5,Both perform,5,1
227,Seller's breach - deposit remedy,23.86666666666667,-35.2,170,117,17,5.666666666666667,88,35.2,6,-11.333333333333332,Buyer's breach - judicial remedy,-6,0
228,Both perform,83,-25,105,180,17,4.25,80,26.4,65,58,Both perform,58,1
229,Both perform,-56,-28,164,114,34,17.0,136,62.56,31,-84,Buyer's breach - deposit remedy,-17.0,0
230,Both perform,7,-74,168,121,20,5.0,94,84.6,19,-67,Buyer's breach - deposit remedy,-15.0,0
231,Both perform,9,-17,173,208,43,14.333333333333334,156,124.8,94,-8,Both perform,-8,1
232,Both perform,-57,-20,194,134,17,17.0,174,140.94,89,-77,Buyer's breach - deposit remedy,0.0,0
233,Both perform,19,-66,148,122,21,7.0,82,77.9,10,-47,Buyer's breach - judicial remedy,-10,0
234,Both perform,18,15,104,158,21,21.0,119,83.3,26,33,Both perform,33,1
235,Both perform,-24,-8,107,123,48,48.0,99,33.66,5,-32,Buyer's breach - deposit remedy,0.0,0
236,Both perform,-74,42,120,112,24,6.0,162,111.78,47,-32,Buyer's breach - deposit remedy,-18.0,0
237,Both perform,131,-82,146,236,41,20.5,64,5.12,91,49,Both perform,49,1
238,Both perform,-22,12,104,115,21,7.0,116,9.28,83,-10,Both perform,-10,1
239,Both perform,34,23,115,196,24,12.0,138,131.1,24,57,Both perform,57,1
240,Both perform,19,29,161,225,16,5.333333333333333,190,153.9,60,48,Both perform,48,1
241,Both perform,37,64,119,249,29,29.0,183,86.01,15,101,Both perform,101,1
242,Both perform,34,-35,170,208,39,9.75,135,16.2,32,-1,Both perform,-1,1
243,Both perform,75,-49,131,188,31,10.333333333333334,82,75.44,50,26,Both perform,26,1
244,Both perform,29,-49,157,157,20,5.0,108,62.64,68,-20,Buyer's breach - deposit remedy,-15.0,0
245,Both perform,-78,61,121,135,31,31.0,182,49.14,82,-17,Buyer's breach - deposit remedy,0.0,0
246,Both perform,66,-128,195,172,39,13.0,67,8.04,84,-62,Buyer's breach - deposit remedy,-26.0,0
247,Both perform,72,-2,105,195,20,10.0,103,4.12,48,70,Both perform,70,1
248,Both perform,82,-37,143,218,30,30.0,106,45.58,99,45,Both perform,45,1
249,Both perform,150,-51,106,238,33,11.0,55,22.0,75,99,Both perform,99,1
250,Both perform,-62,105,94,158,21,7.0,199,149.25,87,43,Both perform,43,1
251,Both perform,-98,58,114,107,33,33.0,172,101.48,44,-40,Buyer's breach - deposit remedy,0.0,0
252,Both perform,82,-90,166,174,16,8.0,76,34.96,48,-8,Buyer's breach - deposit remedy,-8.0,0
253,Both perform,-129,105,91,104,37,18.5,196,5.88,71,-24,Buyer's breach - deposit remedy,-18.5,0
254,Both perform,79,-46,168,226,25,25.0,122,91.5,86,33,Both perform,33,1
255,Both perform,1,51,91,159,16,16.0,142,123.54,95,52,Both perform,52,1
256,Seller's breach - deposit remedy,74.8,-74.8,186,118,21,21.0,88,74.8,94,0.0,Buyer's breach - deposit remedy,0.0,0
257,Buyer's breach - enforced performance,-138,-10,178,126,25,25.0,168,55.44,71,-148,Buyer's breach - deposit remedy,0.0,0
258,Both perform,19,-3,176,214,22,7.333333333333333,173,134.94,22,16,Both perform,16,1
259,Both perform,-31,40,120,152,23,5.75,160,142.4,52,9,Both perform,9,1
260,Both perform,-122,92,106,104,28,28.0,198,156.42,97,-30,Buyer's breach - deposit remedy,0.0,0
261,Both perform,-38,16,124,124,22,11.0,140,40.6,18,-22,Buyer's breach - deposit remedy,-11.0,0
262,Both perform,1,-45,192,169,21,5.25,147,102.9,98,-44,Buyer's breach - deposit remedy,-15.75,0
263,Both perform,-58,-50,179,109,38,19.0,129,107.07,55,-108,Buyer's breach - deposit remedy,-19.0,0
264,Both perform,-136,2,195,108,47,23.5,197,116.23,58,-134,Seller's breach - deposit remedy,-23.5,0
265,Both perform,27,3,144,192,18,6.0,147,1.47,51,30,Both perform,30,1
266,Both perform,139,-43,117,247,34,8.5,74,4.44,1,96,Both perform,96,1
267,Both perform,124,-53,113,216,32,16.0,60,55.2,23,71,Both perform,71,1
268,Buyer's breach - enforced performance,-175,46,153,108,32,16.0,199,71.64,52,-129,Buyer's breach - deposit remedy,-16.0,0
269,Both perform,105,-36,121,227,37,18.5,85,66.3,8,69,Both perform,69,1
270,Both perform,25,30,132,198,11,5.5,162,139.32,89,55,Both perform,55,1
271,Both perform,-38,-24,190,156,28,9.333333333333334,166,119.52,39,-62,Buyer's breach - deposit remedy,-18.66666666666667,0
272,Both perform,-20,12,120,148,36,18.0,132,100.32,71,-8,Both perform,-8,1
273,Both perform,118,-60,127,199,14,14.0,67,32.16,55,58,Both perform,58,1
274,Both perform,34,-40,128,137,15,15.0,88,84.48,48,-6,Buyer's breach - deposit remedy,0.0,0
275,Both perform,145,-111,173,243,36,36.0,62,27.28,24,34,Both perform,34,1
